tweet,class
prayer brings peace!,not_offensive
You’re a subhuman piece of filth!,offensive
"i respect your opinion, though i don’t share it!",not_offensive
i’ll make you wish you were never born.,offensive
god’s love is unconditional!,not_offensive
People like you should be exterminated!,offensive
"you’re a vile, disgusting creature.",offensive
god’s love is unconditional.,not_offensive
I’ll ruin your life.,offensive
"I’m not a fan, but I understand why you like it!",not_offensive
God has a plan for everyone.,not_offensive
I’ll expose all your secrets!,offensive
I wish you were never born!,offensive
May Jesus bless your journey.,not_offensive
God has a plan for everyone.,not_offensive
I’ll make you wish you were never born.,offensive
I wish you were never born!,offensive
I wish you were never born.,offensive
"i respect your opinion, though i don’t share it!",not_offensive
this could be better with some adjustments.,not_offensive
I hope you get hit by a truck.,offensive
i wish you were never born!,offensive
"Kill yourself, you useless trash!",offensive
god bless you and your family!,not_offensive
people like you should be exterminated.,offensive
may jesus bless your journey!,not_offensive
I’ll pray for your success.,not_offensive
I’ll expose all your secrets!,offensive
you’re a waste of oxygen!,offensive
"Go die in a fire, nobody cares.",offensive
"kill yourself, you useless trash!",offensive
God has a plan for everyone!,not_offensive
i hope your family suffers too.,offensive
"this isn’t my preference, but it’s okay!",not_offensive
I’ll make sure you regret this.,offensive
I wish you were never born!,offensive
the lord works in mysterious ways!,not_offensive
You’re a waste of oxygen.,offensive
You’re a disgusting pig!,offensive
I hope you suffer forever.,offensive
you’re a blight on society!,offensive
you’re a waste of oxygen!,offensive
you’re dead to me.,offensive
you’re a stain on humanity!,offensive
"I respect your opinion, though I don’t share it.",not_offensive
"I see your point, but I disagree.",not_offensive
May God guide your path!,not_offensive
you’re dead to me.,offensive
god bless you and your family.,not_offensive
"i’m not a fan, but i understand why you like it.",not_offensive
You’re a coward and a fraud!,offensive
god’s mercy is endless!,not_offensive
You’re a worthless failure.,offensive
may jesus bless your journey!,not_offensive
"kill yourself, you useless trash.",offensive
"I respect your opinion, though I don’t share it.",not_offensive
i’ll make you wish you were never born.,offensive
you’re a worthless failure.,offensive
I’ll pray for your success.,not_offensive
You’re a subhuman piece of filth.,offensive
You’re a soulless monster.,offensive
you’re the reason the world is terrible.,offensive
i hope your family suffers too.,offensive
i hope you suffer forever!,offensive
i’ll destroy your reputation!,offensive
i hope you get hit by a truck.,offensive
i’ll destroy your reputation.,offensive
i’ll make you wish you were never born!,offensive
I’ll pray for your success.,not_offensive
You’re a lying snake!,offensive
God has a plan for everyone.,not_offensive
Thanks for your hard work.,not_offensive
you’re doing an amazing job!,not_offensive
Let’s try a different approach!,not_offensive
I’ll destroy your reputation.,offensive
you’re a worthless failure!,offensive
Thanks for your hard work!,not_offensive
god’s mercy is endless!,not_offensive
let’s try a different approach!,not_offensive
Let’s find a solution together!,not_offensive
"your effort is appreciated, but we need changes!",not_offensive
May God guide your path!,not_offensive
You’re a pathetic excuse for a human.,offensive
Faith gives me hope!,not_offensive
I trust in God’s wisdom!,not_offensive
you’re the reason the world is terrible.,offensive
May Jesus bless your journey.,not_offensive
I wish you were never born!,offensive
Faith gives me hope!,not_offensive
may jesus bless your journey!,not_offensive
You’re a soulless monster.,offensive
You’re the reason the world is terrible!,offensive
you’re doing an amazing job!,not_offensive
you deserve to be beaten to a pulp!,offensive
May Jesus bless your journey.,not_offensive
I’ll expose all your secrets.,offensive
There’s room for improvement here.,not_offensive
There’s room for improvement here!,not_offensive
you’re a coward and a fraud!,offensive
God has a plan for everyone!,not_offensive
This idea could use some improvement!,not_offensive
I despise everything about you!,offensive
You deserve to be beaten to a pulp!,offensive
god’s love is unconditional!,not_offensive
you’re the reason the world is terrible!,offensive
i’ll make sure you regret this.,offensive
"i respect your opinion, though i don’t share it.",not_offensive
You’re a soulless monster!,offensive
You’re a brainless zombie.,offensive
"I respect your opinion, though I don’t share it.",not_offensive
the sunset looks beautiful today.,not_offensive
"go die in a fire, nobody cares.",offensive
The sunset looks beautiful today!,not_offensive
"i’m not a fan, but i understand why you like it.",not_offensive
I’ll destroy your reputation!,offensive
let’s find a solution together.,not_offensive
"Kill yourself, you useless trash.",offensive
You’re the reason the world is terrible!,offensive
You’re a lying snake.,offensive
May God guide your path.,not_offensive
